user_id,stars,reviews
A2XP9IN4JOMROD,1,"I wanted to love this. I was even prepared for it to be somewhat like a cheap Circle K Cappuccino. Unfortunately, the product itself is really greasy. You actually see grease in the cup. It is 80 calories per serving and the taste it really really powder tasting, like powdered milk.  I wasn't expecting a Starbucks Cap out of the K-Cup, but I was expecting a little more than this.<br /><br />I read the reviews and they were sort of mixed, so I chose to try it, but I won't buy these again. They will sit on the top cupboard shelf till i am desperate I guess or throw them away. Three boxes of them... EESSSH<br /><br />I also now realize these aren't eligible for return... so that sucks. Oh well, buyer beware, right!"
A2TS09JCXNV1VD,5,Grove Square Cappuccino Cups were excellent. Tasted really good right from the Keurig brewer with nothing added.  wWould highly recommend.  RCCJR
AJ3L5J7GN09SV,2,"I bought the Grove Square hazelnut cappuccino k-cups, not expecting too much.  What a pleasant surprise when I tasted that cup of coffee, it surprised even me, a harsh critic of cappuccino.  It can be compared to the expensive cappuccino that I buy at the specialty coffee shops around town.  Hey, send me some more, I've got guests coming and want to impress them."
A3CZD34ZTUJME7,1,"I love my Keurig, and I love most of the Keurig coffees.  This is instant coffee with instant milk and far too much sugar.  I don't know anyone I dislike enough to dump the rest of the box on."
AWKN396SHAQGP,1,It's a powdered drink. No filter in k-cup.<br />Just buy it in bulk and mix it with hot water....<br /><br />Nothing else to say here. Wont be buying it again.
A35NA371SV1PAH,3,"Not enough coffee flavor and definitely to sweet.  It had good flavor, but I am just not used to the amount of sugar it had in it and I add a half cup of regular coffee to it to tone it down.  I wish I had realized that it contained sugar and cream, if I had I think I would have chosen something different and been a lot happier with the purchase.  Kids should love this coffee drink though...."
A1LR5HPNQLH4RI,1,"don't bother! bet you couldn't tell the difference between this and hot water if your eyes were closed. well, maybe the water would have a taste!"
A2RCZ8YKLE8B3O,1,"Never tasted this coffee before, I felt much too sweet even for dessert.  I would not order again. But then that is only my opinion.  My friend's husband loves it.<br />I gave them to him."
A31D6GWYLIKF4X,2,"While the overall idea behind the product is laudable, they blew it by using sucralose instead of pure trustworthy cane sugar. The sweetener leaves an aftertaste that to me, tastes disgusting and ruins what would have otherwise been an enjoyable and flavorful cup of cappuccino. Will not be ordering this product again (or anything else sweetened with sugar-free alternatives)."
A1KZPDB5MOWNVU,5,"I bought a keurig and bought these to try. Well, my friends and family cleaned me out at Christmas and I had to reorder. People were asking to take them home for the next morning. They are sweet and satisfying. No additional milk or sugar needed."
A2QO7WEZM1UDL,5,My husband and I LOVE this French Vanilla Cappuccino.  Sooo glad I didn't listen to some of the reviews and took the plunge and bought it.
A367O562XAG9K9,4,"First of all, let me say that I LIKE the stuff from WaWa or other machines, so that is what I was looking for.  I did not want some fancy cappuccino, but something comparable to the stuff I pay $1.50 for in the mornings.  Well, this stuff was very good.  VERY comparable to the machine cappuccino, sweet, smooth, good flavor.  For under $10 a box it comes to around .40 a cup which is great compared to the $1.30+ at the store.  I definitely would recommend it."
A3M333GYMKIG8A,2,"This is an instant product that's mostly cream and sugar.  Yes I can taste the hazelnut, but smell it more than taste it.  A small cup is way too sweet and the larger cup is weak.  It's so sticky sweet that I run a large cup of water through my maker to make sure it doesn't clog my machine up.  If you like the instant stuff you get from a machine at a convenience store then this is for you.<br /><br /><a href=""http://www.amazon.com/gp/product/B005K4Q37U"">Grove Square Cappuccino Cups, Hazelnut, Single Serve Cup for Keurig K-Cup Brewers, 24-Count</a>"
A2LRH0VHHAD7EP,5,"I also bought this product and I can tell you that I received my shipment in a timely manner and it was worth it!! This cappuccino tastes delicious with no additions like milk, cream or sugar. Just brew it by itself and enjoy the perfect combination of a great cappuccino. Absolutely worth the price and I saved a ton of $$$ by not purchasing from starbuck's.."
AXQRKLHSGET5M,1,This has to be the worst tasting coffee I have ever had in a k-cup. I buy a lot of k-cups this is the by far the worst. Don't waste your money on this product.
A3IG63S7OHU9T4,5,I must say I got more than I expected in a cup of this cappuccino.  It is rich and creamy and the flavor is great!
A2M47VXTDILXZU,5,"I first tried this at my mom and dad's house (in the Vanilla flavor) and was hooked.  Then, after checking out the stats, I was even more hooked and ordered the Caramel right away.  I do a low sugar or sugar free diet and this fits perfectly into my diet as a treat.  With only 80 calories, 4.5 grams of fat and 5 sugars, it's a win/win situation for me.  I do brew it with 10 oz of water instead of 8, otherwise it's just a little too sweet for me.  All in all, I'm very happy with this product and will order more when I run out."
AS6RW245UGM8B,5,Great product. Thanks! These have a wonderful flavor when you brew a cup of coffee. I like getting K-Cups from Amazon and trying new flavors.
A1QVVIA5EZIMI0,5,"Normally I don't care for coffee at all, but I absolutely loved these!<br /><br />My sister got one of the Keurig coffee machines, and there were samples of these included in the box. She told me that she thought I would like them, so I gave it a shot.<br /><br />She was right! I absolutely loved these, and after running out of the samples decided to order some from Amazon.<br /><br />For me, they were the perfect ammount of sweetness, and I didn't find there to be any weird artificial sweetner taste as some other reviwers have mentioned.<br /><br />Now I drink one of these every day. The only thing I prefer over these are the Caramel flavored ones (also from Grove Square).<br /><br />I would highly recommend these to everyone. Especially people who normally don't like coffee. A+ and 5 stars in my book!"
A2KCCTHFMLJZFG,5,I love these cappuccino's.  I'm addicted to them and have one every morning with my Tully's dark roast coffee.  Delicious.
